,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
0,Adams County 0001.00,17001000100,14087146,4607,90.71,6.19,3425,2329,92.79,7.21,2288,42.13,57.87,3.15,96.85,48.1,68.76,35.96,34.71,29.32,40.519999999999996,21.55,85.3
1,Adams County 0002.01,17001000201,3206319,2003,90.66,6.54,1365,990,97.68,2.32,835,34.85,65.15,6.44,93.56,40.49,66.45,44.91,23.83,31.250000000000004,39.410000000000004,24.91,78.1
2,Adams County 0002.02,17001000202,1514956,2391,84.53,10.25,1541,1409,93.12,6.88,896,23.21,76.79,10.87,89.13,28.69,71.14,36.5,43.86,19.64,39.0,16.55,78.2
3,Adams County 0004.00,17001000400,4443142,3314,77.46,13.7,2311,1355,95.79,4.21,1286,26.44,73.56,4.34,95.66,55.61,49.66,51.47,27.919999999999998,20.61,59.150000000000006,9.649999999999999,66.2
4,Adams County 0005.00,17001000500,1262517,2154,84.68,8.17,1458,839,96.31,3.69,787,41.04,58.96,7.33,92.67,50.08,50.66,50.82000000000001,32.92,16.26,52.81,13.170000000000002,71.6
5,Adams County 0006.00,17001000600,2730589,4284,91.99,4.51,2932,2679,94.62,5.38,1842,25.57,74.43,4.16,95.84,33.42,74.69,30.839999999999996,32.14,37.03,26.3,35.27,82.1
6,Adams County 0007.00,17001000700,1356914,1114,88.06,9.07,942,414,96.62,3.38,765,45.1,54.9,3.22,96.78,69.08,42.5,82.88,11.76,5.359999999999999,65.71000000000001,11.36,69.8
7,Adams County 0008.00,17001000800,2367424,2297,85.94,11.62,1696,1007,90.17,9.83,1005,40.3,59.7,12.47,87.53,60.82,41.37,75.03,11.649999999999999,13.34,71.11,3.89,68.2
8,Adams County 0009.00,17001000900,1797932,2738,93.46,2.08,1610,1590,88.62,11.38,1239,30.1,69.9,8.07,91.93,35.54,65.12,48.50999999999999,30.910000000000004,20.590000000000003,34.53,22.98,78.9
9,Adams County 0010.01,17001001001,1629646,3389,97.55,1.68,2301,1860,97.31,2.69,1390,24.17,75.83,1.68,98.32,38.09,75.75,33.89,30.86,35.25,39.47,22.209999999999997,77.7
10,Adams County 0010.02,17001001002,3076715,3170,92.11,0.41,2105,1406,99.36,0.64,1146,36.74,63.26,1.66,98.34,37.9,74.73,28.529999999999998,36.3,35.17,42.23,19.19,78.7
11,Adams County 0011.00,17001001100,12840511,8000,87.84,7.56,5886,4475,96.02,3.98,3514,35.09,64.91,2.61,97.39,38.11,72.87,31.58,28.22,40.18,32.11,35.720000000000006,82.7
12,Adams County 0101.00,17001010100,574561437,4450,97.17,0.72,3070,2487,97.83,2.17,1719,32.0,68.0,2.3,97.7,29.26,78.67,26.17,31.41,42.42,42.339999999999996,20.91,79.2
13,Adams County 0102.00,17001010200,387454770,3486,98.51,0.0,2385,1749,97.43,2.57,1471,34.13,65.87,4.32,95.68,39.43,69.66,39.16,28.14,32.7,51.28,16.47,76.7
14,Adams County 0104.00,17001010400,175669750,3485,96.81,0.0,2475,1803,96.06,3.94,1252,36.42,63.58,0.92,99.08,30.42,82.53,22.77,27.47,49.760000000000005,36.89,33.53,79.2
15,Adams County 0105.00,17001010500,48683881,2884,99.45,0.0,2228,1464,99.11,0.89,1197,36.01,63.99,0.9,99.1,38.42,86.65,18.96,23.14,57.89,38.47,34.37,80.8
16,Adams County 0106.00,17001010600,206242310,5932,96.95,1.3,4180,3382,96.63,3.37,2490,38.15,61.85,8.26,91.74,35.12,73.92,19.77,30.89,49.36,42.18,29.910000000000004,80.3
17,Alexander County 9576.00,17003957600,282415331,2041,82.17,16.56,1607,755,96.82,3.18,735,42.86,57.14,6.48,93.52,54.09,51.15,42.989999999999995,35.78,21.24,57.370000000000005,10.01,75.7
18,Alexander County 9577.00,17003957700,275569419,1854,82.52,16.67,1176,554,87.36,12.64,593,50.59,49.41,10.57,89.43,53.67,46.28,46.370000000000005,31.02,22.6,51.870000000000005,8.51,77.1
19,Alexander County 9578.00,17003957800,41485531,1352,27.59,69.53,848,513,91.81,8.19,488,55.74,44.26,6.36,93.64,68.42,41.12,60.25999999999999,35.86,3.8899999999999997,42.57,16.28,74.2
20,Alexander County 9579.00,17003957900,10197484,764,29.19,68.06,657,283,90.81,9.19,436,50.46,49.54,7.69,92.31,70.68,45.72,77.75,11.93,10.33,57.53,8.98,70.9
21,Bond County 9512.00,17005951200,251008345,3026,94.08,3.7,2303,1291,97.6,2.4,1337,46.07,53.93,12.82,87.18,40.41,62.93,31.119999999999997,32.08,36.8,44.06999999999999,19.45,77.7
22,Bond County 9513.00,17005951300,15766399,6562,81.55,15.42,4525,2490,98.96,1.04,2202,34.42,65.58,4.65,95.35,44.76,69.3,47.91,26.069999999999997,26.03,40.11,24.88,77.7
23,Bond County 9514.00,17005951400,327226428,2798,94.25,0.0,2020,1308,95.8,4.2,1089,36.27,63.73,2.24,97.76,35.15,79.02,29.65,28.46,41.87,43.91,22.03,77.0
24,Bond County 9515.00,17005951500,391063924,4134,99.13,0.0,2993,2163,96.58,3.42,1731,31.25,68.75,5.52,94.48,33.94,74.65,31.09,28.880000000000003,40.03000000000001,46.77,17.27,78.3
25,Boone County 0102.00,17007010200,5280019,6006,74.74,2.78,3844,2796,89.95,10.05,2190,31.0,69.0,7.63,92.37,44.07,61.71,51.33,21.689999999999998,26.989999999999995,49.04,15.22,77.4
26,Boone County 0103.00,17007010300,3910836,6457,84.14,2.03,4523,3424,95.94,4.06,2541,43.17,56.83,8.81,91.19,49.09,56.41,34.019999999999996,34.67,31.33,55.980000000000004,8.870000000000001,75.9
27,Boone County 0104.00,17007010400,216840947,6510,92.18,1.81,4512,3719,91.96,8.04,2325,48.3,51.7,6.77,93.23,32.96,72.58,26.63,25.119999999999997,48.25,49.760000000000005,19.82,77.8
28,Boone County 0106.01,17007010601,266087399,3600,92.78,0.06,2460,2143,88.01,11.99,1245,30.76,69.24,8.31,91.69,36.39,71.36,17.75,24.66,57.589999999999996,46.629999999999995,23.180000000000003,82.1
29,Brown County 9704.00,17009970400,775758165,2468,96.07,0.0,1806,1283,95.25,4.75,1086,40.42,59.58,6.12,93.88,37.4,72.65,30.86,24.22,44.940000000000005,53.44,13.729999999999999,78.4
30,Brown County 9705.00,17009970500,16070461,4131,67.15,29.02,3022,1098,98.82,1.18,1004,23.71,76.29,6.33,93.67,40.66,63.38,42.43,26.7,30.88,58.739999999999995,11.58,72.9
31,Bureau County 9647.00,17011964700,361109480,2805,96.68,0.82,2008,1554,95.3,4.7,1164,39.69,60.31,1.79,98.21,37.79,79.29,25.849999999999998,29.979999999999997,44.160000000000004,44.32,13.799999999999999,88.3
32,Bureau County 9648.00,17011964800,538630803,3251,99.26,0.0,2262,1656,96.01,3.99,1273,36.06,63.94,4.31,95.69,37.13,70.23,35.97,25.520000000000003,38.49000000000001,42.18,17.42,80.7
33,Bureau County 9649.00,17011964900,186976768,2639,93.22,0.0,1812,1414,93.92,6.08,1122,36.1,63.9,8.79,91.21,39.56,62.07,39.220000000000006,29.41,31.38,50.33,19.32,76.3
34,Bureau County 9650.00,17011965000,284289644,3814,82.25,0.63,2596,1952,93.65,6.35,1402,36.52,63.48,6.79,93.21,38.91,69.85,31.45,25.68,42.870000000000005,56.43000000000001,13.55,88.2
35,Bureau County 9651.00,17011965100,45636785,3742,89.02,3.45,2642,1905,93.28,6.72,1564,39.64,60.36,8.34,91.66,37.95,74.01,34.4,31.97,33.64,47.42,16.35,77.3
36,Bureau County 9652.00,17011965200,14917127,3484,86.14,1.38,2515,1826,95.62,4.38,1532,39.62,60.38,5.37,94.63,44.14,65.38,42.300000000000004,25.34,32.39,46.01,20.31,77.8
37,Bureau County 9653.00,17011965300,12525383,3320,99.01,0.0,2320,1637,93.95,6.05,1328,41.49,58.51,4.15,95.85,40.79,72.38,34.87,31.4,33.74,41.03,20.17,77.4
38,Bureau County 9655.00,17011965500,426476958,3657,93.14,0.44,2502,1763,95.58,4.42,1486,35.67,64.33,2.02,97.98,42.82,74.82,34.59,30.62,34.78999999999999,46.04,19.630000000000003,80.0
39,Bureau County 9656.00,17011965600,352753624,2799,96.89,0.61,2040,1513,95.11,4.89,1183,31.87,68.13,5.16,94.84,37.55,74.81,33.72,25.78,40.48,49.61,13.09,79.2
40,Calhoun County 9512.00,17013951200,366003828,2500,94.24,1.16,1752,1035,95.94,4.06,832,40.99,59.01,0.66,99.34,42.16,68.74,35.34,25.13,39.53,48.97,11.36,78.3
41,Calhoun County 9513.00,17013951300,291411356,2282,99.82,0.0,1726,1088,95.22,4.78,829,48.37,51.63,1.31,98.69,35.93,79.1,24.25,25.81,49.94,47.1,19.12,86.0
42,Carroll County 9601.00,17015960100,192994912,3100,97.77,0.97,2254,1406,94.45,5.55,1330,47.29,52.71,2.39,97.61,47.37,72.89,30.88,27.59,41.51,42.68,18.14,82.1
43,Carroll County 9602.00,17015960200,330892683,2087,97.08,0.43,1614,1041,89.15,10.85,1060,46.23,53.77,5.27,94.73,41.26,70.82,31.990000000000002,33.86,34.160000000000004,45.849999999999994,18.22,80.9
44,Carroll County 9603.00,17015960300,35158586,3071,95.05,1.27,2325,1370,92.48,7.52,1554,41.38,58.62,8.63,91.37,48.22,61.8,51.220000000000006,28.43,20.34,55.57,13.719999999999999,71.8
45,Carroll County 9604.00,17015960400,115057399,1931,95.08,0.78,1330,957,97.18,2.82,831,35.26,64.74,5.37,94.63,35.18,74.17,38.989999999999995,31.65,29.369999999999997,43.300000000000004,26.76,76.8
46,Carroll County 9605.00,17015960500,289415791,2402,97.29,0.08,1665,1268,97.63,2.37,1079,32.72,67.28,5.87,94.13,35.8,72.31,34.66,27.25,38.09,40.6,22.16,79.1
47,Carroll County 9606.00,17015960600,190078030,1807,87.88,11.57,1505,797,94.48,5.52,657,36.07,63.93,3.18,96.82,35.88,81.74,25.419999999999998,33.79,40.79,55.14,18.34,78.8
48,Cass County 9601.00,17017960100,305624350,2166,95.75,0.74,1471,1036,95.08,4.92,951,40.59,59.41,4.17,95.83,38.3,71.28,29.65,39.96,30.39,51.67,15.03,77.8
49,Cass County 9602.00,17017960200,236761570,2458,98.74,0.0,1741,1269,96.3,3.7,1048,31.11,68.89,2.04,97.96,40.03,76.36,32.74,26.619999999999997,40.64,47.33,23.49,77.2
50,Cass County 9603.00,17017960300,425131838,2476,96.97,2.1,1853,1250,92.4,7.6,1018,46.86,53.14,3.99,96.01,44.2,68.19,26.14,33.59,40.28,56.94,17.05,77.1
51,Cass County 9604.00,17017960400,2247864,2603,78.18,7.3,1743,1359,92.42,7.58,1064,30.08,69.92,3.61,96.39,41.64,68.27,42.769999999999996,31.950000000000003,25.279999999999998,61.97,16.009999999999998,75.2
52,Cass County 9605.00,17017960500,3432582,2621,73.9,9.92,1548,1241,92.1,7.9,987,21.18,78.82,9.84,90.16,35.79,62.3,41.66,32.72,25.639999999999997,68.73,4.79,76.7
53,Champaign County 0002.00,17019000200,1245325,2205,14.38,67.44,1156,908,91.74,8.26,830,24.1,75.9,8.39,91.61,56.78,44.22,82.64999999999999,11.690000000000001,5.66,45.68,16.43,72.7
54,Champaign County 0005.00,17019000500,1873077,3647,72.94,18.32,2549,2317,96.63,3.37,1905,13.65,86.35,5.54,94.46,27.06,77.62,38.309999999999995,23.36,38.31,7.840000000000001,55.01,79.7
55,Champaign County 0007.00,17019000700,2604688,3200,46.78,34.19,2067,1745,89.57,10.43,1211,21.64,78.36,17.91,82.09,46.78,43.25,51.05,35.75,13.21,58.69,12.48,71.9
56,Champaign County 0008.00,17019000800,12424646,6425,59.5,22.82,4185,4436,97.02,2.98,2813,10.7,89.3,7.06,92.94,35.81,63.0,24.560000000000002,40.43,35.01,25.330000000000002,47.81,77.3
57,Champaign County 0009.01,17019000901,2742358,4751,44.07,50.49,2578,2702,91.12,8.88,1832,14.3,85.7,10.97,89.03,39.15,59.02,49.07000000000001,33.68,17.25,47.629999999999995,12.68,73.7
58,Champaign County 0009.02,17019000902,19624037,7235,62.35,21.51,4505,3841,94.35,5.65,2789,20.15,79.85,6.22,93.78,29.74,75.8,24.92,37.0,38.09,25.64,36.419999999999995,80.9
59,Champaign County 0010.00,17019001000,2487936,4526,72.51,20.57,3067,2758,97.21,2.79,2093,18.73,81.27,8.52,91.48,32.98,66.81,42.66,20.5,36.85,26.54,46.33,77.8
60,Champaign County 0011.00,17019001100,2600941,3810,81.97,5.12,2625,2154,99.3,0.7,1625,31.08,68.92,2.2,97.8,34.28,82.02,25.669999999999998,25.1,49.230000000000004,12.57,56.15,84.3
61,Champaign County 0012.01,17019001201,3876315,7197,46.12,34.88,4531,3538,92.54,7.46,3004,20.84,79.16,5.68,94.32,37.48,69.87,36.620000000000005,33.620000000000005,29.759999999999998,33.57,34.35,77.8
62,Champaign County 0012.03,17019001203,2531544,4554,72.88,21.21,3215,2668,97.56,2.44,1962,21.41,78.59,1.97,98.03,33.2,78.66,15.44,31.19,53.36000000000001,23.950000000000003,45.91,82.1
63,Champaign County 0012.04,17019001204,7606982,3848,65.25,6.37,2711,1786,95.58,4.42,1362,29.15,70.85,4.24,95.76,26.09,81.13,12.920000000000002,12.26,74.81,8.780000000000001,63.22,84.5
64,Champaign County 0012.05,17019001205,23891916,7414,57.51,12.71,5067,3753,96.38,3.62,3039,20.5,79.5,1.12,98.88,23.12,84.39,26.09,19.68,54.239999999999995,16.95,60.11,86.9
65,Champaign County 0012.06,17019001206,2457102,2040,91.13,2.3,1662,1059,98.49,1.51,957,38.66,61.34,1.18,98.82,35.25,89.51,25.810000000000002,11.71,62.49000000000001,10.65,58.730000000000004,84.2
66,Champaign County 0013.01,17019001301,4237093,6613,83.58,3.58,4624,3519,91.25,8.75,2774,30.71,69.29,2.67,97.33,28.99,85.52,26.150000000000002,29.42,44.410000000000004,18.880000000000003,61.510000000000005,84.0
67,Champaign County 0013.02,17019001302,7482622,4449,81.41,2.72,3546,2257,96.77,3.23,2069,47.66,52.34,0.67,99.33,40.39,89.93,16.570000000000004,20.93,62.49,22.56,53.71999999999999,79.9
68,Champaign County 0014.00,17019001400,5570712,6794,65.38,5.56,2549,2570,98.75,1.25,1643,15.09,84.91,2.13,97.87,11.66,90.74,35.18,21.79,43.03,12.91,67.99,83.7
69,Champaign County 0054.01,17019005401,4644952,4118,68.48,25.4,2546,2529,94.42,5.58,2223,20.51,79.49,4.21,95.79,47.07,65.99,64.55000000000001,22.0,13.44,33.15,43.21,75.4
70,Champaign County 0054.02,17019005402,15174396,4126,81.51,7.08,3031,2263,92.4,7.6,1824,23.85,76.15,5.04,94.96,44.11,60.95,36.59,38.32,25.12,38.9,19.5,78.9
71,Champaign County 0055.00,17019005500,10090327,5157,75.14,10.37,4131,3190,97.93,2.07,2307,20.16,79.84,2.03,97.97,37.37,73.86,36.64,30.3,33.07,31.200000000000003,38.01,74.4
72,Champaign County 0057.01,17019005701,2610806,5044,71.13,17.88,3696,2303,95.01,4.99,2405,32.6,67.4,1.86,98.14,43.18,73.1,44.57,19.58,35.85,25.57,47.86,80.8
73,Champaign County 0057.02,17019005702,16319609,1699,75.22,7.77,1316,678,100.0,0.0,740,42.7,57.3,0.62,99.38,37.39,89.37,21.630000000000003,20.4,57.96999999999999,15.350000000000001,60.56,84.3
74,Champaign County 0058.00,17019005800,1448746,3828,74.37,1.91,2216,2403,96.38,3.62,1585,15.65,84.35,1.38,98.62,19.31,89.84,40.32,13.94,45.739999999999995,4.880000000000001,78.88000000000001,85.5
75,Champaign County 0101.00,17019010100,15206909,4694,72.03,17.21,3185,2267,99.07,0.93,2143,29.21,70.79,7.46,92.54,42.5,63.27,49.879999999999995,34.39,15.729999999999999,47.78,16.08,76.5
76,Champaign County 0102.04,17019010204,10651394,4894,74.03,15.26,3348,2285,95.05,4.95,1955,38.82,61.18,11.48,88.52,45.24,58.07,40.92,32.89,26.2,50.99,10.04,77.5
77,Champaign County 0103.00,17019010300,8366519,3381,47.91,35.17,1629,1260,88.73,11.27,1048,17.18,82.82,11.77,88.23,57.88,33.85,54.21,24.240000000000002,21.560000000000002,37.82,13.56,76.9
78,Champaign County 0104.00,17019010400,465467504,4698,96.91,1.02,3344,2502,95.28,4.72,1868,33.24,66.76,4.56,95.44,35.43,77.98,22.900000000000002,29.810000000000002,47.27,47.339999999999996,18.69,75.9
79,Champaign County 0105.00,17019010500,375283527,4473,95.46,0.07,3123,2331,98.28,1.72,1647,29.08,70.92,2.24,97.76,27.41,83.32,15.48,22.4,62.11,31.34,31.76,88.3
80,Champaign County 0106.01,17019010601,33296629,6245,95.87,0.38,3952,3261,95.86,4.14,2080,19.95,80.05,2.87,97.13,15.9,90.2,12.930000000000001,16.92,70.14,22.59,47.4,79.6
81,Champaign County 0106.03,17019010603,50584147,7302,95.17,0.53,4401,3765,98.41,1.59,2576,21.66,78.34,2.29,97.71,19.24,87.81,20.699999999999996,19.72,59.59,20.13,40.75,85.3
82,Champaign County 0106.04,17019010604,258003769,2743,92.38,3.94,2030,1482,96.83,3.17,1187,33.19,66.81,2.19,97.81,32.29,85.59,29.24,20.89,49.88,36.25,20.5,79.1
83,Champaign County 0108.00,17019010800,414428071,4566,97.9,0.5,3079,2282,95.84,4.16,1751,29.18,70.82,3.85,96.15,29.68,80.64,20.72,24.62,54.66,34.46,26.17,81.8
84,Christian County 9581.00,17021958100,372644442,2834,96.44,1.2,2074,1616,97.03,2.97,1134,33.33,66.67,6.71,93.29,35.49,73.2,24.68,31.65,43.66,55.349999999999994,13.21,77.7
85,Christian County 9582.00,17021958200,230512165,3534,99.49,0.42,2614,1773,95.94,4.06,1595,39.18,60.82,6.83,93.17,38.67,73.09,32.48,24.58,42.95,57.16,9.530000000000001,77.7
86,Christian County 9583.00,17021958300,13163532,4772,95.37,0.46,3220,1987,96.48,3.52,2100,28.38,71.62,3.88,96.12,39.71,69.22,45.230000000000004,35.010000000000005,19.77,54.59,17.86,77.2
87,Christian County 9584.00,17021958400,3578778,3413,95.78,0.7,2564,1718,92.67,7.33,1543,36.62,63.38,1.38,98.62,47.09,69.2,45.57,20.35,34.09,42.17,21.299999999999997,75.8
88,Christian County 9585.00,17021958500,4793117,1934,93.59,3.88,1549,1009,97.03,2.97,1071,30.35,69.65,11.11,88.89,50.0,56.47,58.459999999999994,23.799999999999997,17.740000000000002,39.0,18.21,72.6
89,Christian County 9586.00,17021958600,341802097,2046,99.85,0.0,1489,953,94.96,5.04,934,42.08,57.92,2.2,97.8,37.05,80.84,32.330000000000005,24.299999999999997,43.35,47.21,24.78,76.4
90,Christian County 9587.00,17021958700,369694707,4443,93.43,4.79,3388,1545,97.93,2.07,1409,35.49,64.51,5.4,94.6,35.15,74.81,35.77,31.379999999999995,32.87,51.29,16.060000000000002,82.9
91,Christian County 9588.00,17021958800,3304941,2260,98.98,0.0,1792,1225,97.22,2.78,1125,42.58,57.42,0.37,99.63,42.7,76.19,48.620000000000005,33.43,17.96,56.53,13.739999999999998,73.1
92,Christian County 9589.00,17021958900,7069019,2859,95.21,2.41,1664,1218,100.0,0.0,1188,37.54,62.46,6.02,93.98,56.94,57.19,49.589999999999996,32.74,17.67,70.31,10.75,74.2
93,Christian County 9590.00,17021959000,491006889,4610,97.64,1.13,3363,2364,97.08,2.92,1878,37.81,62.19,5.05,94.95,37.83,73.6,20.340000000000003,33.87,45.79,45.65,23.16,76.7
94,Clark County 0601.00,17023060100,738636779,4571,97.33,0.74,3252,2136,95.55,4.45,1810,37.24,62.76,2.28,97.72,36.82,77.25,13.650000000000002,32.54,53.81,40.089999999999996,26.839999999999996,78.4
95,Clark County 0602.00,17023060200,28026729,3903,96.08,0.2,2792,1838,95.65,4.35,1737,43.41,56.59,2.41,97.59,46.08,75.53,33.21,29.65,37.13,47.849999999999994,23.64,73.5
96,Clark County 0603.00,17023060300,146246108,5284,97.52,0.78,3616,2927,96.69,3.31,2439,32.47,67.53,5.96,94.04,40.95,68.61,44.21,26.479999999999997,29.320000000000004,50.58,16.31,76.5
97,Clark County 0604.00,17023060400,385645288,1844,96.58,0.0,1258,930,95.91,4.09,740,44.86,55.14,3.36,96.64,42.14,71.8,28.110000000000003,34.19,37.709999999999994,42.769999999999996,17.41,77.9
98,Clay County 9719.00,17025971900,458268019,2430,99.09,0.29,1728,1047,95.32,4.68,983,45.07,54.93,4.3,95.7,45.12,75.13,30.82,34.38,34.790000000000006,53.07,15.56,79.0
99,Clay County 9720.00,17025972000,436814488,2838,97.71,0.74,2131,1398,91.42,8.58,1276,42.08,57.92,8.15,91.85,46.72,62.18,44.21,33.38,22.42,50.35,8.87,74.7
100,Clay County 9721.00,17025972100,36663579,4890,93.05,0.35,3423,2560,93.79,6.21,2061,40.71,59.29,2.87,97.13,50.39,58.86,38.58,30.71,30.71,54.22,12.909999999999998,73.2
101,Clay County 9722.00,17025972200,281276755,3059,97.61,0.42,2014,1397,97.71,2.29,1287,37.37,62.63,6.64,93.36,36.74,67.51,31.61,26.810000000000002,41.57,42.3,17.83,77.6
102,Clinton County 9001.00,17027900100,79074991,5972,97.3,0.49,4103,3107,98.97,1.03,2309,29.84,70.16,2.42,97.58,29.0,82.86,24.86,26.58,48.559999999999995,34.75,30.11,81.1
103,Clinton County 9002.00,17027900200,185665346,1961,96.18,0.0,1313,1152,98.7,1.3,686,34.69,65.31,3.93,96.07,26.16,81.9,16.91,21.72,61.370000000000005,48.21,16.91,84.5
104,Clinton County 9003.00,17027900300,145395847,7027,96.17,0.19,4983,3730,98.02,1.98,2934,33.09,66.91,2.24,97.76,29.49,84.07,28.36,27.61,44.040000000000006,33.05,20.75,81.9
105,Clinton County 9004.01,17027900401,208466579,1204,96.76,0.0,927,679,97.2,2.8,559,33.27,66.73,6.56,93.44,32.39,79.57,41.69,27.73,30.58,44.44,17.15,77.7
106,Clinton County 9005.00,17027900500,181091575,6696,83.74,14.05,5048,2325,92.17,7.83,2164,41.22,58.78,8.0,92.0,46.81,63.14,43.339999999999996,26.799999999999997,29.85,57.74,10.659999999999998,78.7
107,Clinton County 9006.01,17027900601,79889476,2845,98.45,0.04,1970,1541,97.53,2.47,1151,36.58,63.42,1.51,98.49,22.88,87.14,27.02,26.84,46.129999999999995,40.51,25.12,80.2
108,Clinton County 9006.02,17027900602,187728748,6826,93.1,2.56,4945,3760,98.14,1.86,2701,32.54,67.46,4.62,95.38,28.6,81.71,15.330000000000002,28.29,56.38999999999999,35.47,24.27,78.3
109,Coles County 0001.00,17029000100,440673531,2935,98.64,0.1,2074,1509,90.92,9.08,1232,40.34,59.66,7.26,92.74,46.64,57.48,39.7,31.09,29.22,48.699999999999996,11.19,78.5
110,Coles County 0002.00,17029000200,391714370,5838,97.38,0.24,4100,2745,95.26,4.74,2223,41.16,58.84,9.19,90.81,41.0,62.64,30.85,28.97,40.18000000000001,41.22,24.46,79.6
111,Coles County 0003.00,17029000300,12425349,4508,94.39,3.44,3301,2122,97.46,2.54,2018,37.91,62.09,5.25,94.75,48.62,64.35,40.88,32.459999999999994,26.66,44.949999999999996,20.02,77.5
112,Coles County 0004.00,17029000400,31432659,2652,86.43,4.9,1804,1347,86.56,13.44,1355,40.66,59.34,11.61,88.39,54.43,46.41,60.22999999999999,25.240000000000002,14.54,65.41,8.03,71.6
113,Coles County 0005.00,17029000500,25367131,6635,94.98,3.59,4581,3360,89.49,10.51,2873,33.07,66.93,12.11,87.89,53.24,43.59,52.239999999999995,31.4,16.36,50.21,17.799999999999997,76.3
114,Coles County 0006.00,17029000600,365244343,3300,97.45,1.48,2457,1744,91.23,8.77,1423,34.15,65.85,3.03,96.97,41.18,71.61,28.619999999999997,26.85,44.559999999999995,35.53,30.62,80.7
115,Coles County 0009.00,17029000900,13838916,4228,90.09,3.15,3134,2247,92.97,7.03,1859,28.51,71.49,4.4,95.6,35.34,79.21,20.12,27.39,52.5,21.44,45.879999999999995,82.9
116,Coles County 0010.00,17029001000,7434163,3186,94.73,1.16,2289,1309,90.3,9.7,1448,44.27,55.73,2.06,97.94,57.87,60.88,49.03,27.0,23.96,41.24,22.89,76.9
117,Coles County 0011.00,17029001100,4686332,3707,97.01,1.27,2450,1783,97.87,2.13,1508,22.68,77.32,11.23,88.77,46.23,52.27,53.769999999999996,23.939999999999998,22.29,48.45,13.39,72.4
118,Coles County 0012.00,17029001200,7829719,3500,98.06,1.29,2457,1967,88.82,11.18,1469,29.48,70.52,6.66,93.34,45.77,62.43,35.74,30.84,33.42999999999999,41.23,20.88,75.7
119,Cook County 0101.00,17031010100,379511,4644,52.33,35.51,3443,2765,94.9,5.1,2453,18.47,81.53,7.64,92.36,38.49,63.07,46.02,15.700000000000001,38.28,28.58,46.9,68.8
120,Cook County 0102.01,17031010201,504464,7488,40.1,35.34,4905,3449,96.06,3.94,2895,13.61,86.39,8.75,91.25,49.46,45.93,50.029999999999994,23.14,26.81,44.12,33.11,77.3
121,Cook County 0102.02,17031010202,351253,3154,40.65,32.69,2184,1655,93.05,6.95,1183,11.75,88.25,19.85,80.15,38.78,42.82,40.42,33.22,26.369999999999997,36.31,33.48,78.6
122,Cook County 0103.00,17031010300,472522,6135,52.96,29.37,5151,3509,96.58,3.42,3035,18.81,81.19,24.63,75.37,22.94,59.09,45.489999999999995,20.200000000000003,34.3,31.82,41.41,70.0
123,Cook County 0104.00,17031010400,548761,5193,74.0,18.72,2742,2649,94.87,5.13,2214,20.33,79.67,7.63,92.37,25.77,80.72,52.879999999999995,21.09,26.020000000000003,10.72,57.92,79.7
124,Cook County 0105.01,17031010501,202133,4039,51.05,34.64,3168,2812,94.06,5.94,2306,16.44,83.56,11.25,88.75,25.15,69.54,49.09,27.63,23.29,16.189999999999998,56.82,80.8
125,Cook County 0105.02,17031010502,180386,2960,53.82,26.28,1850,1923,96.98,3.02,1509,11.13,88.87,11.05,88.95,23.82,70.17,49.57,26.84,23.580000000000002,17.509999999999998,59.73,79.1
126,Cook County 0105.03,17031010503,194213,1973,71.52,11.81,1083,881,95.69,4.31,1058,33.55,66.45,2.14,97.86,39.25,65.14,71.27,13.52,15.220000000000002,44.96,33.059999999999995,78.4
127,Cook County 0106.00,17031010600,495017,6363,59.39,20.9,4547,4061,98.08,1.92,2855,12.33,87.67,13.32,86.68,20.31,70.94,30.650000000000002,28.580000000000002,40.78,20.87,57.08,79.1
128,Cook County 0107.01,17031010701,429690,3562,51.09,22.49,2779,2472,96.16,3.84,1501,17.46,82.54,21.25,78.75,24.0,60.89,37.78,26.51,35.7,36.92,39.089999999999996,83.8
129,Cook County 0107.02,17031010702,357548,5209,45.4,33.42,3013,2642,93.83,6.17,1835,7.19,92.81,11.6,88.4,36.88,53.62,35.28,32.05,32.7,31.53,42.68,75.4
130,Cook County 0201.00,17031020100,411155,3742,37.28,37.04,2806,2205,92.56,7.44,1476,31.3,68.7,14.99,85.01,39.85,53.13,33.88,34.9,31.24,38.03,39.88,79.7
131,Cook County 0202.00,17031020200,1241961,6980,51.13,8.02,4278,3210,96.73,3.27,2023,28.18,71.82,14.56,85.44,27.42,63.83,16.900000000000002,21.3,61.790000000000006,27.769999999999996,48.33,81.9
132,Cook County 0203.01,17031020301,825541,5447,83.17,2.46,3545,2412,91.71,8.29,2133,40.32,59.68,9.55,90.45,35.71,66.86,35.120000000000005,27.43,37.47,24.689999999999998,54.190000000000005,83.7
