,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
1643,Jefferson County 0504.00,17081050400,303646600,5447,83.26,11.58,4150,1861,95.97,4.03,1441,40.46,59.54,11.81,88.19,40.09,61.6,28.65,35.11,36.22,60.7,7.6,81.4
1644,Jefferson County 0505.00,17081050500,71983973,3735,82.03,10.25,2631,1667,92.26,7.74,1761,42.76,57.24,4.31,95.69,56.87,56.31,55.7,18.85,25.450000000000003,34.67,25.81,74.2
1645,Jefferson County 0506.00,17081050600,12113417,2791,76.5,16.62,2121,1462,96.85,3.15,1284,36.21,63.79,1.18,98.82,36.8,79.3,31.14,32.71,36.13,29.79,24.76,75.9
1646,Jefferson County 0507.00,17081050700,23902267,3820,91.26,0.47,2609,1966,95.42,4.58,1567,36.63,63.37,4.27,95.73,43.4,65.08,31.84,31.839999999999996,36.3,32.81,27.870000000000005,75.9
1647,Jefferson County 0508.00,17081050800,83236039,4357,96.74,0.44,3137,2142,96.5,3.5,1754,42.02,57.98,4.8,95.2,44.67,73.78,32.9,24.51,42.59,33.19,23.87,79.1
1648,Jefferson County 0509.00,17081050900,1935285,2779,72.22,21.73,1775,1091,97.25,2.75,1173,47.66,52.34,6.26,93.74,75.06,39.19,49.44,42.63,7.93,49.36,4.390000000000001,70.9
1649,Jefferson County 0510.00,17081051000,2059768,1465,48.67,38.84,839,719,87.34,12.66,553,37.61,62.39,10.84,89.16,68.94,24.18,54.61000000000001,20.97,24.409999999999997,48.870000000000005,4.29,68.0
1650,Jefferson County 0511.00,17081051100,32726734,2166,79.32,9.46,1460,1135,82.56,17.44,803,30.76,69.24,10.06,89.94,50.32,53.46,51.68,28.03,20.3,50.27,7.4,73.5
1651,Jersey County 0101.00,17083010100,235865594,5221,95.21,0.23,3733,2517,95.51,4.49,1863,33.98,66.02,4.18,95.82,34.63,71.68,37.31,18.2,44.5,42.24,21.32,73.3
1652,Jersey County 0102.00,17083010200,120645723,3401,97.35,0.0,2363,2006,95.71,4.29,1213,28.52,71.48,5.7,94.3,29.58,77.65,17.73,28.36,53.910000000000004,35.84,21.07,79.3
